txn_id,txn_hour,txn_amount,amount_deviation,txn_velocity,behavior_score,payment_channel,risk_flag
TXN00001,17,222.39,-0.3,0.75,0.33,CreditCard,0
TXN00002,21,991.0,-0.06,0.46,0.32,UPI,0
TXN00003,10,566.06,-0.27,0.59,0.17,CreditCard,0
TXN00004,8,320.76,-0.34,0.56,0.08,UPI,0
TXN00005,16,1047.68,0.27,0.13,0.29,CreditCard,0
TXN00006,12,337.56,-0.17,0.48,0.17,CreditCard,0
TXN00007,22,847.93,-0.46,0.27,0.32,CreditCard,0
TXN00008,14,1068.73,-0.22,0.21,0.06,DebitCard,0
TXN00009,11,529.98,-0.06,0.46,0.07,DebitCard,0
TXN00010,10,399.4,0.5,0.42,0.32,UPI,0
TXN00011,21,1187.07,-0.32,0.62,0.18,CreditCard,0
TXN00012,16,403.75,-0.42,0.41,0.31,CreditCard,0
TXN00013,16,336.32,-0.49,0.17,0.32,DebitCard,0
TXN00014,21,690.95,0.03,0.28,0.25,CreditCard,0
TXN00015,12,631.01,0.17,0.62,0.28,CreditCard,0
TXN00016,14,899.3,0.11,0.14,0.28,DebitCard,0
TXN00017,22,507.81,-0.29,0.37,0.07,UPI,0
TXN00018,22,1168.5,-0.01,0.19,0.09,UPI,0
TXN00019,18,383.18,-0.05,0.35,0.32,CreditCard,0
TXN00020,9,1174.68,-0.4,0.39,0.28,CreditCard,0
TXN00021,17,933.73,0.29,0.43,0.16,DebitCard,0
TXN00022,18,1065.15,0.43,0.76,0.23,UPI,0
TXN00023,22,380.13,-0.22,0.34,0.18,CreditCard,0
TXN00024,16,809.64,-0.42,0.68,0.29,CreditCard,0
TXN00025,14,646.98,0.42,0.39,0.14,UPI,0
TXN00026,19,562.18,0.11,0.32,0.27,CreditCard,0
TXN00027,22,433.61,-0.08,0.64,0.33,DebitCard,0
TXN00028,12,264.45,-0.31,0.62,0.19,UPI,0
TXN00029,10,305.65,0.2,0.47,0.09,UPI,0
TXN00030,13,318.33,0.28,0.54,0.26,CreditCard,0
TXN00031,12,1076.86,0.39,0.44,0.25,CreditCard,0
TXN00032,14,475.98,0.16,0.53,0.09,DebitCard,0
TXN00033,11,524.36,-0.2,0.17,0.25,DebitCard,0
TXN00034,20,206.15,0.11,0.44,0.08,UPI,0
TXN00035,10,247.2,0.36,0.74,0.09,CreditCard,0
TXN00036,13,613.93,0.08,0.53,0.17,UPI,0
TXN00037,10,446.16,0.0,0.52,0.11,UPI,0
TXN00038,10,1069.11,0.28,0.25,0.25,DebitCard,0
TXN00039,21,990.58,-0.35,0.61,0.17,CreditCard,0
TXN00040,11,1149.7,-0.48,0.25,0.21,UPI,0
TXN00041,9,317.37,0.48,0.74,0.1,DebitCard,0
TXN00042,9,227.53,-0.08,0.28,0.18,DebitCard,0
TXN00043,19,744.29,0.16,0.75,0.27,DebitCard,0
TXN00044,14,1181.74,-0.39,0.73,0.28,CreditCard,0
TXN00045,14,998.38,-0.25,0.34,0.23,DebitCard,0
TXN00046,8,477.79,0.2,0.32,0.19,UPI,0
TXN00047,9,405.69,0.13,0.53,0.12,CreditCard,0
TXN00048,10,242.96,0.11,0.19,0.2,CreditCard,0
TXN00049,16,639.56,-0.47,0.78,0.13,UPI,0
TXN00050,17,425.26,-0.09,0.15,0.17,DebitCard,0
TXN00051,20,644.64,-0.45,0.49,0.15,UPI,0
TXN00052,21,691.74,-0.06,0.11,0.1,UPI,0
TXN00053,20,803.37,0.32,0.48,0.16,DebitCard,0
TXN00054,20,309.9,0.06,0.53,0.24,UPI,0
TXN00055,9,208.11,-0.45,0.54,0.29,CreditCard,0
TXN00056,16,467.52,-0.47,0.55,0.28,DebitCard,0
TXN00057,20,498.74,0.1,0.45,0.12,UPI,0
TXN00058,19,1183.08,-0.02,0.43,0.17,DebitCard,0
TXN00059,17,724.69,-0.34,0.33,0.16,CreditCard,0
TXN00060,22,250.37,-0.01,0.54,0.15,CreditCard,0
TXN00061,21,558.15,0.24,0.46,0.13,DebitCard,0
TXN00062,20,906.49,-0.13,0.56,0.28,CreditCard,0
TXN00063,22,759.81,-0.04,0.67,0.12,UPI,0
TXN00064,13,1099.09,-0.35,0.17,0.25,DebitCard,0
TXN00065,11,610.51,0.47,0.27,0.24,CreditCard,0
TXN00066,8,326.98,0.31,0.11,0.13,DebitCard,0
TXN00067,15,952.34,0.09,0.29,0.07,UPI,0
TXN00068,12,744.73,0.31,0.37,0.23,UPI,0
TXN00069,22,760.86,-0.3,0.55,0.25,CreditCard,0
TXN00070,16,936.83,0.14,0.16,0.11,CreditCard,0
TXN00071,17,975.55,-0.35,0.71,0.32,CreditCard,0
TXN00072,11,1181.73,0.17,0.47,0.27,DebitCard,0
TXN00073,20,1098.53,0.38,0.31,0.07,UPI,0
TXN00074,18,1124.62,0.35,0.5,0.35,DebitCard,0
TXN00075,8,642.46,-0.33,0.75,0.28,CreditCard,0
TXN00076,12,253.88,-0.11,0.14,0.1,CreditCard,0
TXN00077,20,993.98,0.06,0.56,0.09,UPI,0
TXN00078,10,859.0,-0.38,0.57,0.31,UPI,0
TXN00079,19,643.96,0.21,0.73,0.32,UPI,0
TXN00080,14,1120.09,0.39,0.13,0.26,CreditCard,0
TXN00081,15,895.75,-0.39,0.77,0.15,DebitCard,0
TXN00082,9,526.63,0.35,0.42,0.3,CreditCard,0
TXN00083,15,617.99,0.11,0.28,0.28,CreditCard,0
TXN00084,11,807.01,-0.03,0.57,0.24,UPI,0
TXN00085,10,402.42,0.15,0.44,0.06,UPI,0
TXN00086,18,984.7,-0.1,0.77,0.06,UPI,0
TXN00087,12,380.36,-0.11,0.74,0.2,CreditCard,0
TXN00088,16,366.3,-0.29,0.25,0.15,CreditCard,0
TXN00089,20,878.8,-0.04,0.47,0.1,CreditCard,0
TXN00090,14,633.42,-0.0,0.56,0.22,CreditCard,0
TXN00091,19,747.01,-0.48,0.15,0.23,DebitCard,0
TXN00092,16,1122.26,0.36,0.62,0.24,DebitCard,0
TXN00093,13,488.93,-0.42,0.22,0.3,UPI,0
TXN00094,12,215.6,-0.31,0.31,0.31,CreditCard,0
TXN00095,19,1146.16,-0.08,0.21,0.17,CreditCard,0
TXN00096,16,785.09,0.29,0.3,0.26,UPI,0
TXN00097,10,762.33,0.15,0.77,0.08,DebitCard,0
TXN00098,20,1112.46,0.04,0.16,0.26,UPI,0
TXN00099,14,348.61,0.11,0.3,0.34,UPI,0
TXN00100,20,477.3,0.3,0.27,0.07,UPI,0
TXN00101,11,489.6,0.17,0.14,0.24,DebitCard,0
TXN00102,18,923.0,0.09,0.16,0.2,UPI,0
TXN00103,13,547.65,0.13,0.48,0.19,UPI,0
TXN00104,9,1186.52,0.41,0.29,0.1,DebitCard,0
TXN00105,13,1172.93,0.13,0.58,0.27,CreditCard,0
TXN00106,18,931.6,0.1,0.78,0.17,DebitCard,0
TXN00107,21,1101.9,-0.49,0.25,0.22,CreditCard,0
TXN00108,17,994.93,-0.28,0.28,0.21,CreditCard,0
TXN00109,20,560.57,0.07,0.8,0.26,CreditCard,0
TXN00110,22,556.94,-0.03,0.49,0.15,DebitCard,0
TXN00111,18,1044.47,0.32,0.48,0.06,CreditCard,0
TXN00112,22,812.1,-0.47,0.7,0.09,UPI,0
TXN00113,8,992.91,-0.06,0.51,0.08,DebitCard,0
TXN00114,22,918.26,0.29,0.19,0.21,DebitCard,0
TXN00115,15,823.57,0.48,0.26,0.29,UPI,0
TXN00116,16,590.52,0.4,0.7,0.24,CreditCard,0
TXN00117,16,467.92,0.04,0.1,0.11,UPI,0
TXN00118,12,367.19,-0.03,0.26,0.1,CreditCard,0
TXN00119,21,617.46,0.3,0.43,0.13,CreditCard,0
TXN00120,9,1093.64,0.21,0.24,0.11,UPI,0
TXN00121,10,1084.52,0.28,0.77,0.11,UPI,0
TXN00122,8,1000.88,0.2,0.44,0.26,DebitCard,0
TXN00123,10,480.63,-0.09,0.6,0.17,DebitCard,0
TXN00124,14,808.41,0.47,0.42,0.29,UPI,0
TXN00125,22,314.8,0.48,0.5,0.12,DebitCard,0
TXN00126,18,532.2,0.47,0.35,0.29,CreditCard,0
TXN00127,22,495.3,0.47,0.73,0.11,DebitCard,0
TXN00128,15,858.43,-0.38,0.28,0.09,CreditCard,0
TXN00129,19,988.49,-0.04,0.72,0.21,DebitCard,0
TXN00130,20,1052.38,-0.33,0.17,0.07,DebitCard,0
TXN00131,21,420.72,0.09,0.5,0.16,CreditCard,0
TXN00132,22,317.43,-0.44,0.46,0.09,DebitCard,0
TXN00133,22,518.65,0.24,0.75,0.25,CreditCard,0
TXN00134,15,281.52,-0.47,0.43,0.21,DebitCard,0
TXN00135,22,345.25,-0.49,0.74,0.28,UPI,0
TXN00136,16,930.0,-0.45,0.67,0.26,UPI,0
TXN00137,17,902.35,0.17,0.76,0.13,DebitCard,0
TXN00138,8,285.4,0.1,0.32,0.27,CreditCard,0
TXN00139,14,552.02,0.23,0.27,0.33,UPI,0
TXN00140,17,1102.05,0.36,0.14,0.17,UPI,0
TXN00141,8,434.06,0.19,0.73,0.34,CreditCard,0
TXN00142,10,1011.27,-0.07,0.27,0.24,CreditCard,0
TXN00143,19,1018.8,-0.14,0.33,0.17,UPI,0
TXN00144,18,502.02,-0.04,0.1,0.25,UPI,0
TXN00145,16,344.87,0.2,0.52,0.24,DebitCard,0
TXN00146,15,304.38,-0.26,0.79,0.28,CreditCard,0
TXN00147,10,485.91,-0.19,0.77,0.31,UPI,0
TXN00148,20,358.43,0.25,0.6,0.31,DebitCard,0
TXN00149,17,229.43,0.27,0.59,0.2,CreditCard,0
TXN00150,11,976.23,0.08,0.69,0.19,CreditCard,0
TXN00151,21,994.91,0.34,0.55,0.15,UPI,0
TXN00152,10,896.98,-0.24,0.47,0.13,DebitCard,0
TXN00153,16,1111.26,-0.41,0.59,0.06,CreditCard,0
TXN00154,21,1019.13,0.23,0.72,0.33,UPI,0
TXN00155,9,598.61,-0.48,0.19,0.26,CreditCard,0
TXN00156,12,558.98,0.35,0.31,0.32,CreditCard,0
TXN00157,20,896.15,-0.44,0.28,0.12,DebitCard,0
TXN00158,8,846.74,0.34,0.6,0.17,CreditCard,0
TXN00159,17,1049.76,-0.22,0.12,0.06,CreditCard,0
TXN00160,16,535.34,0.46,0.14,0.28,UPI,0
TXN00161,8,254.54,-0.05,0.45,0.33,DebitCard,0
TXN00162,14,1011.57,-0.01,0.18,0.07,CreditCard,0
TXN00163,8,704.57,0.3,0.49,0.33,CreditCard,0
TXN00164,22,561.94,0.19,0.37,0.08,DebitCard,0
TXN00165,15,849.28,0.47,0.62,0.24,DebitCard,0
TXN00166,17,796.57,-0.47,0.59,0.19,DebitCard,0
TXN00167,18,890.6,-0.37,0.77,0.2,CreditCard,0
TXN00168,13,274.9,0.29,0.64,0.32,CreditCard,0
TXN00169,21,992.5,-0.05,0.23,0.28,DebitCard,0
TXN00170,17,847.54,-0.41,0.16,0.09,DebitCard,0
TXN00171,12,637.44,-0.4,0.33,0.23,DebitCard,0
TXN00172,16,966.96,-0.21,0.23,0.07,DebitCard,0
TXN00173,17,573.17,0.4,0.59,0.07,CreditCard,0
TXN00174,18,942.88,0.08,0.34,0.29,CreditCard,0
TXN00175,13,639.94,0.41,0.26,0.19,UPI,0
TXN00176,20,234.82,0.25,0.58,0.23,DebitCard,0
TXN00177,18,549.71,0.49,0.47,0.25,DebitCard,0
TXN00178,22,1032.39,0.48,0.56,0.28,CreditCard,0
TXN00179,20,979.14,0.47,0.13,0.27,CreditCard,0
TXN00180,9,860.82,-0.11,0.22,0.21,CreditCard,0
TXN00181,12,824.48,0.02,0.68,0.06,UPI,0
TXN00182,17,1028.33,-0.31,0.38,0.2,CreditCard,0
TXN00183,20,788.91,-0.04,0.21,0.2,CreditCard,0
TXN00184,22,364.08,-0.38,0.41,0.08,CreditCard,0
TXN00185,11,741.92,-0.27,0.44,0.06,CreditCard,0
TXN00186,14,331.01,0.23,0.65,0.15,CreditCard,0
TXN00187,11,757.56,-0.18,0.56,0.21,CreditCard,0
TXN00188,9,290.89,-0.26,0.75,0.22,DebitCard,0
TXN00189,19,1197.44,-0.19,0.35,0.15,DebitCard,0
TXN00190,8,680.37,-0.07,0.61,0.18,CreditCard,0
TXN00191,20,1061.78,-0.31,0.6,0.25,UPI,0
TXN00192,15,575.11,-0.05,0.41,0.13,UPI,0
TXN00193,22,550.47,-0.43,0.45,0.33,CreditCard,0
TXN00194,16,879.43,0.12,0.58,0.35,UPI,0
TXN00195,10,978.24,-0.41,0.11,0.12,UPI,0
TXN00196,15,928.1,-0.14,0.24,0.32,UPI,0
TXN00197,17,1169.94,-0.19,0.75,0.32,CreditCard,0
TXN00198,9,769.89,0.31,0.55,0.13,CreditCard,0
TXN00199,21,1183.03,-0.46,0.34,0.07,CreditCard,0
TXN00200,19,1074.17,0.14,0.39,0.05,DebitCard,0
TXN00201,20,402.53,-0.47,0.64,0.19,UPI,0
TXN00202,13,452.47,-0.25,0.27,0.19,DebitCard,0
TXN00203,13,949.07,0.47,0.21,0.12,UPI,0
TXN00204,22,672.38,-0.36,0.61,0.33,CreditCard,0
TXN00205,17,980.57,0.02,0.17,0.09,CreditCard,0
TXN00206,20,1183.37,0.28,0.59,0.26,CreditCard,0
TXN00207,17,303.56,0.48,0.79,0.27,DebitCard,0
TXN00208,15,208.36,0.39,0.58,0.1,UPI,0
TXN00209,17,803.67,0.3,0.44,0.29,DebitCard,0
TXN00210,14,960.24,-0.1,0.57,0.3,UPI,0
TXN00211,21,851.88,-0.37,0.58,0.15,DebitCard,0
TXN00212,8,486.04,-0.46,0.38,0.32,CreditCard,0
TXN00213,14,1047.14,0.31,0.35,0.06,UPI,0
TXN00214,8,1145.95,0.36,0.76,0.33,DebitCard,0
TXN00215,13,1072.24,-0.29,0.53,0.33,UPI,0
TXN00216,16,563.5,0.11,0.19,0.09,CreditCard,0
TXN00217,9,357.92,-0.27,0.28,0.17,CreditCard,0
TXN00218,21,479.04,-0.2,0.72,0.25,DebitCard,0
TXN00219,11,566.22,0.21,0.62,0.27,DebitCard,0
TXN00220,10,672.11,-0.07,0.45,0.2,CreditCard,0
TXN00221,14,800.82,-0.23,0.66,0.33,UPI,0
TXN00222,12,325.33,-0.18,0.79,0.2,CreditCard,0
TXN00223,11,761.61,0.49,0.3,0.14,UPI,0
TXN00224,8,564.16,-0.28,0.11,0.2,UPI,0
TXN00225,18,551.04,0.16,0.24,0.21,UPI,0
TXN00226,12,1091.1,0.07,0.36,0.18,DebitCard,0
TXN00227,17,273.43,0.12,0.51,0.28,UPI,0
TXN00228,8,578.3,-0.13,0.26,0.33,CreditCard,0
TXN00229,22,1028.52,0.15,0.27,0.14,CreditCard,0
TXN00230,9,780.28,0.43,0.52,0.07,UPI,0
TXN00231,19,765.12,0.13,0.52,0.15,DebitCard,0
TXN00232,15,819.69,0.48,0.35,0.31,DebitCard,0
TXN00233,14,275.98,-0.22,0.43,0.27,CreditCard,0
TXN00234,20,803.61,-0.3,0.6,0.27,UPI,0
TXN00235,8,1118.07,0.2,0.61,0.09,DebitCard,0
TXN00236,14,413.5,0.02,0.66,0.25,CreditCard,0
TXN00237,18,1131.5,0.19,0.11,0.14,DebitCard,0
TXN00238,9,621.5,0.44,0.41,0.23,DebitCard,0
TXN00239,16,486.71,0.28,0.17,0.33,CreditCard,0
TXN00240,13,997.53,-0.47,0.53,0.18,UPI,0
TXN00241,12,606.58,-0.46,0.6,0.17,DebitCard,0
TXN00242,8,539.89,-0.1,0.75,0.3,CreditCard,0
TXN00243,22,841.9,-0.27,0.23,0.15,CreditCard,0
